,ticker,xly,xlp,xle,xlf,xlv,xli,xlb,xlre,xlk,xlu
300,EQIX,False,False,False,False,False,False,False,True,False,False
301,EQR,False,False,False,False,False,False,False,True,False,False
302,EQT,False,False,True,False,False,False,False,False,False,False
303,ERIE,False,False,False,True,False,False,False,False,False,False
304,ES,False,False,False,False,False,False,False,False,False,True
305,ESRT,True,False,False,False,False,False,False,False,False,False
306,ESRX,False,False,False,False,True,False,False,False,False,False
307,ESS,False,False,False,False,False,False,False,True,False,False
308,ETFC,False,False,False,True,False,False,False,False,False,False
309,ETN,False,False,False,False,False,False,False,False,True,False
310,ETR,False,False,False,False,False,False,False,False,False,True
311,EV,False,False,False,True,False,False,False,False,False,False
312,EVHC,False,False,False,False,True,False,False,False,False,False
313,EW,False,False,False,False,True,False,False,False,False,False
314,EWBC,False,False,False,True,False,False,False,False,False,False
315,EXC,False,False,False,False,False,False,False,False,False,True
316,EXEL,False,False,False,False,True,False,False,False,False,False
317,EXP,False,True,False,False,False,False,False,False,False,False
318,EXPD,False,False,False,False,False,True,False,False,False,False
319,EXPE,True,False,False,False,False,False,False,False,False,False
320,EXR,False,False,False,False,False,False,False,True,False,False
321,F,True,False,False,False,False,False,False,False,False,False
322,FAF,False,False,False,True,False,False,False,False,False,False
323,FANG,False,False,True,False,False,False,False,False,False,False
324,FAST,False,False,False,False,False,True,False,False,False,False
325,FB,False,False,False,False,False,False,False,False,True,False
326,FBHS,False,False,False,False,False,True,False,False,False,False
327,FCE.A,False,False,False,False,False,False,False,True,False,False
328,FCX,False,False,False,False,False,False,True,False,False,False
329,FDC,True,False,False,False,False,False,False,False,False,False
330,FDS,False,False,False,False,False,False,False,False,True,False
331,FDX,False,False,False,False,False,True,False,False,False,False
332,FE,False,False,False,False,False,False,False,False,False,True
333,FEYE,False,False,False,False,False,False,False,False,True,False
334,FFIV,False,False,False,False,False,False,False,False,True,False
335,FHB,False,False,False,True,False,False,False,False,False,False
336,FHN,False,False,False,True,False,False,False,False,False,False
337,FII,False,False,False,True,False,False,False,False,False,False
338,FIS,False,False,False,False,False,False,False,False,True,False
339,FISV,False,False,False,False,False,False,False,False,True,False
340,FITB,False,False,False,True,False,False,False,False,False,False
341,FL,True,False,False,False,False,False,False,False,False,False
342,FLIR,False,False,False,False,False,False,False,False,True,False
343,FLO,False,True,False,False,False,False,False,False,False,False
344,FLR,False,False,False,False,False,True,False,False,False,False
345,FLS,False,False,False,False,False,True,False,False,False,False
346,FLT,True,False,False,False,False,False,False,False,False,False
347,FMC,False,False,False,False,False,False,True,False,False,False
348,FNB,False,False,False,True,False,False,False,False,False,False
349,FND,True,False,False,False,False,False,False,False,False,False
350,FNF,False,False,False,True,False,False,False,False,False,False
351,FOX,True,False,False,False,False,False,False,False,False,False
352,FOXA,True,False,False,False,False,False,False,False,False,False
353,FRC,False,False,False,True,False,False,False,False,False,False
354,FRT,False,False,False,False,False,False,False,True,False,False
355,FSLR,False,False,False,False,False,False,False,False,True,False
356,FTNT,False,False,False,False,False,False,False,False,True,False
357,FTV,False,False,False,False,False,True,False,False,False,False
358,FWONA,True,False,False,False,False,False,False,False,False,False
359,FWONK,True,False,False,False,False,False,False,False,False,False
360,G,True,False,False,False,False,False,False,False,False,False
361,GD,False,False,False,False,False,True,False,False,False,False
362,GDDY,False,False,False,False,False,False,False,False,True,False
363,GDI,False,False,False,False,False,False,False,False,True,False
364,GE,False,False,True,False,False,False,False,False,False,False
365,GGG,False,True,False,False,False,False,False,False,False,False
366,GGP,False,False,False,False,False,False,False,True,False,False
367,GHC,True,False,False,False,False,False,False,False,False,False
368,GILD,False,False,False,False,True,False,False,False,False,False
369,GIS,False,True,False,False,False,False,False,False,False,False
370,GLPI,True,False,False,False,False,False,False,False,False,False
371,GLW,False,False,False,False,False,False,False,False,True,False
372,GM,True,False,False,False,False,False,False,False,False,False
373,GME,True,False,False,False,False,False,False,False,False,False
